wals.code	obligatory.possession	OP.source	OP.pages	OP.comments	affix.position	AP.source	AP.pages	AP.comments	GN.order	GN.source	GN.pages	GN.comments	glottocode	name	latitude	longitude	macroarea	genus	family	sample.100	sample.200	NAME	
cin	Exists	Applegate, (1972). 	p.236		Possessive prefixes	Applegate, (1972)	p.235		Noun-Genitive	Applegate, (1972). 	p.235		ines1240	Chumash (IneseÃ±o)	34,7	-120,3	North America	Chumash	Chumash	FALSE	FALSE	Matilde	
dig	Absent	Devi Prasada Sastry, (1984)			No possessive affixes	Devi Prasada Sastry, (1984)	p. 45	juxtaposition of possessor-possessed	Genitive-Noun	Devi Prasada Sastry, (1984)	p.171		diga1241	Digaro	28,4	96,0	Eurasia	Digaroan	Sino-Tibetan	FALSE	FALSE	Matilde	
hmo	Absent				No possessive affixes	Mortensen (2019) 	622 and 645	Tendency towards isolating	Genitive-Noun	Mortensen (2019) 	622		huam1250	Hmong Njua	28,0	105,0	Eurasia	Hmong-Mien	Hmong-Mien	TRUE	TRUE	Matilde	
kho	Exists	Hagman, (1973)	p.73		No possessive affixes	Hagman, (1973)	p.71-72	dependent suffix marking	Genitive-Noun	Hagman, (1973)	p. 71-72		nama1264	Nama	-25,5	18,0	Africa	Khoe-Kwadi	Khoe-Kwadi	TRUE	TRUE	Matilde	
tgp	Exists	Kratochvíl, (2014)	p.388		Possessive prefixes	Kratochvíl, (2014)	p.388		Genitive-Noun	Kratochvíl, (2014)	p.388		sawi1256	Tanglapui	-8,3	125,1	Papunesia	Kolana-Tanglapui	Timor-Alor-Pantar	FALSE	FALSE	Matilde	
mlk	Absent				No possessive affixes	Birk (1976)	106		No dominant order	Birk (1976)	106		mull1237	Malakmalak	-13,4	130,4	Australia	Northern Daly	Northern Daly	FALSE	FALSE	Matilde	
ori	Absent	Schadeberg, (1979)			No possessive affixes	Schadeberg, (1979)	p. 45	genitive postposition	Noun-Genitive	Schadeberg, (1979)	p.46		tega1236	Orig	12,2	30,8	Africa	Rashad	Kordofanian	FALSE	FALSE	Matilde	
cho	Exists	Turner, Paul Raymond. 1966			Possessive prefixes	Turner, Paul Raymond. 1966	18		Noun-Genitive	Turner, Paul Raymond. 1966	18, 27	deduced only by examples	high1242	Chontal (Highland)	16,3	-95,8	North America	Tequistlatecan	Tequistlatecan	FALSE	FALSE	Matilde	
mdk	Absent	Drame, 1981			Possessive suffixes	Drame, 1981	p.70		Genitive-Noun	Drame, 1981	p.70		mand1436	Mandinka	13,0	-15,7	Africa	Western Mande	Mande	FALSE	FALSE	Matilde	
awp	Absent	Curnow (1998)			No possessive affixes	Curnow (1998)	125	Possessive postposition/clitic in some cases	Genitive-Noun	Curnow (1998)	125		awac1239	Awa Pit	1,5	-78,3	South America	Barbacoan	Barbacoan	FALSE	TRUE	Jonathan	
bsq	Absent	Lafitte (1962)			Possessive suffixes	Hualde (2011)	183	genitive case marking	Genitive-Noun	Hualde (2011)	183		basq1248	Basque	43,0	-3,0	Eurasia	Basque	Basque	TRUE	TRUE	Jonathan	
ik	Absent	Tucker (1973)			Possessive suffixes	Schrock (2017)	530	genitive case marking	No dominant order	Schrock (2017)	530	order leaning towards N.Gen	ikkk1242	Ik	3,8	34,2	Africa	Kuliak	Eastern Sudanic	FALSE	FALSE	Jonathan	
mto	Absent	Das (1973)			Possessive suffixes	Puttaswamy (2018)	p79-104		Genitive-Noun	Puttaswamy (2018)	p79-104		kuma1274	Malto	25,0	87,3	Eurasia	Northern Dravidian	Dravidian	FALSE	FALSE	Jonathan	
pso	Absent	Moshinsky (1974)			Possessive suffixes	Moshinsky (1970)	164	double suffix for alienable possession	Genitive-Noun	Moshinsky (1970)	164		sout2982	Pomo (Southeastern)	39,0	-122,5	North America	Pomoan	Hokan	FALSE	TRUE	Jonathan	
ntu	Absent	Salminen (1999)			Possessive suffixes	Nikolaeva (2014)	67		Genitive-Noun	Nikolaeva (2014)	143	Not when with a pronominal possessor	nene1249	Nenets	70,0	76,0	Eurasia	Samoyedic	Uralic	FALSE	FALSE	Jonathan	
eka	Exists	Boelaars (1950)			Possessive suffixes	Doble (1987)	p65	Some exceptions	Genitive-Noun	Doble (1987)	p65	Irregular NGen	ekar1243	Ekari	-3,8	135,5	Papunesia	Wissel Lakes-Kemandoga	Trans-New Guinea	FALSE	TRUE	Jonathan	
tib	Absent	Denwood (1999)	87	Page is for section describing nouns and NPs - nothing like obligatory posession mentioned	No possessive affixes	Denwood (1999)	87	Page is for section describing nouns and NPs - PA not mentioned	Genitive-Noun	Denwood (1999)	101	Overtly stated and examplified	tibe1272	Tibetan (Standard Spoken)	30,0	91,0	Eurasia	Bodic	Sino-Tibetan	FALSE	FALSE	Håvard	
brm	Absent	Soe (1999)	19	Not mentioned anywhere in discussion of nouns or noun types	No possessive affixes	Soe (1999)	45	Not explicitly stated to not exist	Genitive-Noun	Soe (1999)	45	Overtly stated	nucl1310	Burmese	21,0	96,0	Eurasia	Burmese-Lolo	Sino-Tibetan	TRUE	TRUE	Håvard	
amp	Absent	(Green, 2005)	55, 62	Not mentioned - the grammar is a learner's grammar, but in good linguistic style, and it discusses both possesion of kinship terms and body parts with language such as "can take endings"	Possessive suffixes	(Green, 2005)	62	Possessive suffixes only appear on kinship terms	No dominant order	(Green, 2005)	32	Both orderes given as possible with no indication of a preferred order	east2379	Arrernte (Mparntwe)	-24,0	136,0	Australia	Central Pama-Nyungan	Pama-Nyungan	FALSE	FALSE	Håvard	
yli	Exists	(Fahner, 1979)	27, 156	Not explicitly stated, but for consonant-initial nouns, a zero prefix is the third person singular possessive, and in the word list at the end, all body part nouns are cited in a possessive form (1ps, apart from 'vulva', which is 3ps). Wals wrong here?	Possessive prefixes	(Fahner, 1979)	27			(Fahner, 1979)	181, 189	Not explicitly stated, only 3 examples found in the text samples (All Gen-N)	angg1239	Yali	-4,0	139,3	Papunesia	Dani	Trans-New Guinea	FALSE	FALSE	Håvard	
knp	Absent	Carrol (2016)	63, 102	Not mentioned in Noun Morphology or Noun Syntax sections, nor does it seem to appear anywhere else	No possessive affixes	Carrol (2016)	63, 102	Not mentioned in Noun Morphology or Noun Syntax sections, nor does it seem to appear anywhere else	Genitive-Noun	Carrol (2016)	78, 114	Example on 78, statement that NP is head final on 114	ngka1235	Kanum (NgkÃ¢lmpw)	-8,7	140,9	Papunesia	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	FALSE	FALSE	Håvard	Grammar is for "Ngkolmpu" - this is probably the same, but this table has a rendering error in the name
dyi	Absent	Dixon (1972)	44, 49, 105	Absent in discussions of noun affixes, possesion and pronouns	No possessive affixes	Dixon (1972)	44, 49, 105, 409	Absent in discussions of noun affixes, possesion, pronouns, and in the list of affixes	Genitive-Noun	Dixon (1972)	107	Explicitly stated and examplified - the language is non-configurational, and shows extreme permissiveness in word order	dyir1250	Dyirbal	-17,8	145,6	Australia	Northern Pama-Nyungan	Pama-Nyungan	FALSE	FALSE	Håvard	
wrl	Absent	Reece (1970), Simpson (1983)		Not mentioned in Reece (1970), but the grammar is quite old and bad. Not seen in Simpson (1983) either.	Possessive suffixes	Reece (1970)	85	Possessive suffixes only appear on certain kinship nouns, in which case they share their form with subject suffixes	Noun-Genitive	Reece (1970), Simpson (1983)	192, 191 - 304, 307, 331, 332 	Language is "non-configurational" - though not explicitly stated for the NP, many examples of both N-Gen orders are found	warl1254	Warlpiri	-20,0	132,3	Australia	Western Pama-Nyungan	Pama-Nyungan	FALSE	FALSE	Håvard	
alw	Absent	Sharpe, Margaret C. 1972. Alawa Phonology and Grammar. Canberra: Australian Institute of Aboriginal Studies.			Possessive suffixes	Sharpe, Margaret C. 1972. Alawa Phonology and Grammar. Canberra: Australian Institute of Aboriginal Studies.	59		Genitive-Noun	Sharpe, Margaret C. 1972. Alawa Phonology and Grammar. Canberra: Australian Institute of Aboriginal Studies.	60		alaw1244	Alawa	-15,2	134,3	Australia	Alawa	Mangarrayi-Maran	FALSE	FALSE	Elizabeth	
lda	Absent				Possessive suffixes	Crabtree, William Arther "Elements of Luganda Grammar"	19		Noun-Genitive	Crabtree, William Arther "Elements of Luganda Grammar"	19		gand1255	Luganda	0,5	32,2	Africa	Bantoid	Niger-Congo	FALSE	FALSE	elizabeth	
swa	Absent				Possessive suffixes	Swahili Learners' Reference Grammar. African Language Learners' Reference Grammar Series.	92		Noun-Genitive	Swahili Learners' Reference Grammar. African Language Learners' Reference Grammar Series.	92		swah1253	Swahili	-6,5	39,0	Africa	Bantoid	Niger-Congo	TRUE	TRUE	elizabeth	
kat	Absent				Possessive suffixes	Schneuker, Carl L. 1962. Kâte Language Handbook. Madang: Madang, New Guinea: Lutheran Mission Press. 167pp.	11	 	Genitive-Noun	Schneuker, Carl L. 1962. Kâte Language Handbook. Madang: Madang, New Guinea: Lutheran Mission Press. 167pp.	11		kate1253	KÃ¢te	-6,5	147,8	Papunesia	Finisterre-Huon	Trans-New Guinea	FALSE	FALSE	elizabeth	
maa	Absent				Possessive prefixes	Storto (2008) Agreement in Masai and the Syntax of Possesive DPs	196		Noun-Genitive	Storto (2008) Agreement in Masai and the Syntax of Possesive DPs	195		masa1300	Maasai	-3,0	36,0	Africa	Nilotic	Eastern Sudanic	FALSE	FALSE	elizabeth	
nan	Absent				Possessive suffixes	Ken Lodge, Kalenjin phonology and morphology: A further exemplification of underspecification and non-destructive phonology, Lingua, Volume 96, Issue 1, 1995,	34		Noun-Genitive	Ken Lodge, Kalenjin phonology and morphology: A further exemplification of underspecification and non-destructive phonology, Lingua, Volume 96, Issue 1, 1995,	34		nand1266	Nandi	0,3	35,0	Africa	Nilotic	Eastern Sudanic	FALSE	FALSE	elizabeth	
brk	Absent				Possessive suffixes	Peter Westrum. 1988. Berik Grammar Sketch. Irian XVI. 133-181.	143	only occur in Gen-Noun ordered phrases	No dominant order	Peter Westrum. 1988. Berik Grammar Sketch. Irian XVI. 133-181.	143		beri1254	Berik	-2,3	138,8	Papunesia	Tor	Tor-Orya	FALSE	FALSE	Elizabeth	
brr	Exists	Crowell 1979	214-7	Clear distinction between three possession types	Possessive prefixes	Crowell 1979	214-7		Genitive-Noun	Crowell 1979	214-7		boro1282	Bororo	-16,0	-57,0	South America	Bororoan	Bororoan	FALSE	FALSE	David	
chy	Exists	Rojas Berscia 2019	68	Haart (1988:260), WALS' source, gives some examples of inalienably possessed nouns and Rojas Berscia (2019:68) shows two different paradigms for alienable and inalienable nouns.	Possessive suffixes	Rojas Berscia 2019	68		Genitive-Noun	Haart 1988	260		chay1248	Chayahuita	-5,5	-77,0	South America	Cahuapanan	Cahuapanan	FALSE	FALSE	David	
pnr	Exists	Payne & Payne 2013	74-82	Both WALS source (Payne & Carlson 1989:103) and Payne & Payne (2013:74) show clear differences between inalienable and alienable nouns	Possessive prefixes	Payne & Payne 2013	74-82		Genitive-Noun	Payne & Payne 2013	74-82		enap1235	Panare	6,5	-66,0	South America	Cariban	Cariban	FALSE	FALSE	David	
prh	Absent	Everett 1986	272		No possessive affixes	Everett 1986	272		Genitive-Noun	Everett 1986	272		pira1253	PirahÃ£	-7,0	-62,0	South America	Mura	Mura	TRUE	TRUE	David	
otm	Absent				No possessive affixes	Hess 1968	32-33; 49-50	Only for the examples. Also supported by its sister language (Palancar 2009)	Noun-Genitive				mezq1235	OtomÃ­ (Mezquital)	20,2	-99,2	North America	Otomian	Oto-Manguean	TRUE	TRUE	David	
tot	Exists	MacKay 1999	347-52		Possessive prefixes	MacKay 1999	347-52		Noun-Genitive	MacKay 1999	347-52		yecu1235	Totonac (Misantla)	19,9	-96,9	North America	Totonacan	Totonacan	FALSE	FALSE	David	
buu	Absent				No possessive affixes	Grimes (1991)	190	 Genitive marking on the possessor, bare possessed noun	Genitive-Noun				buru1303	Buru	-3,5	126,5	Papunesia	Central Malayo-Polynesian	Austronesian	FALSE	FALSE	Alejandro	
cjo	Exists				No possessive affixes	Lastra de Suárez (2014)	47	Two strategies: change in form if inalienable; and preposing a classifier if alienable	Genitive-Noun	Lastra de Suárez (2014)	53		chic1272	Chichimeca-Jonaz	21,7	-100,5	North America	Chichimec	Oto-Manguean	FALSE	FALSE	Alejandro	
ctm	Exists			Grammar (which is rather directed towards language learning) does not seem to mention obligatory possession	No possessive affixes				Genitive-Noun				chit1248	Chitimacha	29,7	-91,0	North America	Chitimacha	Chitimacha	FALSE	FALSE	Alejandro	
lim	Absent	van driem (1987)		Wals says it exists using the same source, but there is no mention of it in the grammar and bare forms are shown in examples with no further comments	Possessive prefixes	van Driem (1987)	26-27	1SG, 2SG and 3SG have special possessive form; dual and plural pronous are prefixed "integrally" to the noun they possess	Genitive-Noun				limb1266	Limbu	27,2	87,8	Eurasia	Mahakiranti	Sino-Tibetan	FALSE	FALSE	Alejandro	
nar	Absent				No possessive affixes	Thompson (1976)	486	Possessive pronouns (presumably free) precede the noun	Genitive-Noun				nara1262	Nara (in Ethiopia)	15,1	37,6	Africa	Nara	Eastern Sudanic	FALSE	FALSE	Alejandro	
knu	Exists	Müller (1954)	22	Talks about possibly inalienable-alienable possession, "possessio ad intra" and "possessio ad extra". Not sure if this could mean obligatory too, but in the wordlist no nouns appear with the possessive glued to it	Possessive suffixes	Müller (1954)	22		Genitive-Noun	Müller (1954)	18		rapo1238	Konua	-5,8	154,8	Papunesia	West Bougainville	West Bougainville	FALSE	FALSE	Alejandro	
zul	Absent	Poulos & Msimang (1998)		See also Doke (1927)	No possessive affixes	Poulos & Msimang (1998)	144		Noun-Genitive	Ziervogel et al. (1981)	118, 124-125, 128-129		zulu1248	Zulu	-30,0	30,0	Africa	Bantoid	Niger-Congo	TRUE	TRUE	Alba	
syu	Absent	Irwin (1974)			Possessive suffixes	Irwin (1974)	28-29		No dominant order	Irwin 1974	28-29		salt1242	Salt-Yui	-6,3	145,0	Papunesia	Chimbu	Trans-New Guinea	FALSE	FALSE	Alba	
diz	Absent	Claudi & Serzisko (1985)	150	Debate on -kn being a locative or genitive (as Beachy, 2005: 71 states). If the second, there can be inalienability in the language, observed in firsts studies on the language by Allan (1976: 381)	Prefixes and suffixes	Beachy (2005)	56, 65	Dizin mainly marks possession through a set of separate possessive pronouns (Beachy, 2005: 56). However, both prefixes and suffixes can be found.	No dominant order	Beachy (2005)	56, 71	There are two distinct constructions: Gen-N (with a separate set of possessor pronouns preceding the N) and N-Gen (possession marked by case, which is suffixed)	dizi1235	Dizi	6,2	36,5	Africa	Dizoid	Afro-Asiatic	FALSE	FALSE	Alba	
tag	Absent	Kroeger (1993)		See also Schachter & Otanes (1972); Himmelmann (1999)	No possessive affixes	Schachter & Otanes (1972)	134-138		Noun-Genitive	Schachter & Otanes (1972)	136		taga1270	Tagalog	15,0	121,0	Papunesia	Greater Central Philippine	Austronesian	TRUE	TRUE	Alba	
arp	Absent	Conrad and Wogiga (1991)	57		No possessive affixes	Conrad and Wogiga (1991)	65, 59	There is a suffix -i, but it only affects the pronouns. There is a possessive marker -i in nouns, but it's a clitic.	No dominant order	Conrad and Wogiga (1991)	57		buki1249	Arapesh (Mountain)	-3,5	143,2	Papunesia	Kombio-Arapesh	Torricelli	TRUE	TRUE	Alba	
kor	Absent	Chang (1996)		See also Sohn (1994)	Possessive suffixes	Sohn (1994)	174		Genitive-Noun	Sohn (1999)	265, 293	See also Ramstedt (1968: 42)	kore1280	Korean	37,5	128,0	Eurasia	Korean	Korean	TRUE	TRUE	Alba	
lug	Absent	Crazzolara (1960)			No possessive affixes	Crazzolara (1960)	20		Genitive-Noun	Crazzolara (1960)	20-21	See also Barr (1965: 59-60)            	lugb1240	Lugbara	3,1	30,9	Africa	Moru-Ma'di	Central Sudanic	FALSE	FALSE	Alba	
nim	Absent	Anceaux (1965)		Nominal morphology is unelaborated in the grammar, but the only nominal inflection is (non-obligatory) possession in kinship terms	Possessive prefixes	Anceaux (1965)	169		No dominant order	Foley (2018)	448	There are three distinct constructions: one Gen-N (possessive prefixation) and two N-Gen (with the postposition -de, which marks nominal possession; and a possessive marker -mbe following pronouns)	nucl1633	Nimboran	-2,5	140,2	Papunesia	Nimboran	Nimboran	FALSE	FALSE	Alba	
rap	Absent	Du Feu (1996)			No possessive affixes	Kieviet (2017)	281	Possessive constructions in Rapa Nui are defined by the use of possessive prepositions o and 'a, depending on the semantic relationship between the possessor and the possessee.	Noun-Genitive	Chapin (1978)	150		rapa1244	Rapanui	-27,1	-109,4	Papunesia	Oceanic	Austronesian	TRUE	TRUE	Alba	
ain	Absent				Possessive prefixes				Genitive-Noun				ainu1240	Ainu	43,0	143,0	Eurasia	Ainu	Ainu	FALSE	TRUE		
ane	Absent				Possessive suffixes				No dominant order				anem1249	AnÃªm	-5,6	149,1	Papunesia	AnÃªm	AnÃªm	FALSE	FALSE		
pau	Absent				Prefixes and suffixes				Genitive-Noun				paum1247	PaumarÃ­	-6,0	-64,0	South America	Arauan	Arauan	FALSE	TRUE		
map	Absent				No possessive affixes				Genitive-Noun				mapu1245	Mapudungun	-38,0	-72,0	South America	Araucanian	Araucanian	TRUE	TRUE		
arm	Absent				Possessive suffixes				Genitive-Noun				nucl1235	Armenian (Eastern)	40,0	45,0	Eurasia	Armenian	Indo-European	FALSE	TRUE		
asm	Exists				No possessive affixes				Genitive-Noun				tamn1235	Asmat	-5,5	138,5	Papunesia	Asmat-Kamoro	Trans-New Guinea	TRUE	TRUE		
sla	Absent				Possessive prefixes				Genitive-Noun				slav1253	Slave	67,0	-125,0	North America	Athapaskan	Na-Dene	TRUE	TRUE		
aym	Absent				Possessive suffixes				Genitive-Noun				cent2142	Aymara (Central)	-17,0	-69,0	South America	Aymaran	Aymaran	FALSE	TRUE		
luv	Absent				Possessive suffixes				Noun-Genitive				luva1239	Luvale	-12,0	22,0	Africa	Bantoid	Niger-Congo	TRUE	TRUE		
mal	Absent				No possessive affixes				Noun-Genitive				plat1254	Malagasy	-20,0	47,0	Africa	Barito	Austronesian	TRUE	TRUE		
bej	Absent				Possessive suffixes				Genitive-Noun				beja1238	Beja	18,0	36,0	Africa	Beja	Afro-Asiatic	FALSE	TRUE		
bma	Absent				Possessive suffixes				Noun-Genitive				cent2194	Berber (Middle Atlas)	33,0	-5,0	Africa	Berber	Afro-Asiatic	TRUE	TRUE		
sue	Absent				No possessive affixes				Genitive-Noun				suen1241	Suena	-7,8	147,6	Papunesia	Binanderean	Trans-New Guinea	FALSE	TRUE		
mrg	Absent				Possessive suffixes				Noun-Genitive				marg1265	Margi	11,0	13,0	Africa	Biu-Mandara	Afro-Asiatic	FALSE	FALSE		
ter	Absent				Possessive suffixes				Noun-Genitive				tera1251	Tera	11,0	11,8	Africa	Biu-Mandara	Afro-Asiatic	FALSE	FALSE		
bag	Absent				Possessive suffixes				Noun-Genitive				bagi1246	Bagirmi	11,7	16,0	Africa	Bongo-Bagirmi	Central Sudanic	TRUE	TRUE		
imo	Absent				No possessive affixes				Genitive-Noun				imon1245	Imonda	-3,3	141,2	Papunesia	Border	Border	TRUE	TRUE		
wrs	Absent												wari1266	Waris	-3,2	141,0	Papunesia	Border	Border	FALSE	FALSE		
