"wals.code"	"glottocode"	"name"	"latitude"	"longitude"	"macroarea"	"genus"	"family"	"sample.100"	"sample.200"
"68"	"ngi"	"wang1291"	"Ngiyambaa"	-31.75	145.5	"Australia"	"Southeastern Pama-Nyungan"	"Pama-Nyungan"	"True"	"True"
"69"	"ond"	"onei1249"	"Oneida"	43	-75.6666666667	"North America"	"Northern Iroquoian"	"Iroquoian"	"True"	"True"
"70"	"orh"	"east2652"	"Oromo (Harar)"	9	42	"Africa"	"Lowland East Cushitic"	"Afro-Asiatic"	"True"	"True"
"71"	"otm"	"mezq1235"	"Otomí (Mezquital)"	20.1666666667	-99.1666666667	"North America"	"Otomian"	"Oto-Manguean"	"True"	"True"
"72"	"pai"	"paiw1248"	"Paiwan"	22.5	120.833333333	"Papunesia"	"Paiwan"	"Austronesian"	"True"	"True"
"73"	"prh"	"pira1253"	"Pirahã"	-7	-62	"South America"	"Mura"	"Mura"	"True"	"True"
"74"	"prs"	"west2369"	"Persian"	32	54	"Eurasia"	"Iranian"	"Indo-European"	"True"	"True"
"75"	"qim"	"imba1240"	"Quechua (Imbabura)"	0.333333333333	-78	"South America"	"Quechuan"	"Quechuan"	"True"	"True"
"76"	"ram"	"rama1270"	"Rama"	11.75	-83.75	"North America"	"Rama"	"Chibchan"	"True"	"True"
"77"	"rap"	"rapa1244"	"Rapanui"	-27.1166666667	-109.366666667	"Papunesia"	"Oceanic"	"Austronesian"	"True"	"True"
"78"	"rus"	"russ1263"	"Russian"	56	38	"Eurasia"	"Slavic"	"Indo-European"	"True"	"True"
"79"	"san"	"sang1328"	"Sango"	5	18	"Africa"	"Ubangi"	"Niger-Congo"	"True"	"True"
"80"	"sla"	"slav1253"	"Slave"	67	-125	"North America"	"Athapaskan"	"Na-Dene"	"True"	"True"
"81"	"snm"	"sanu1240"	"Sanuma"	4.5	-64.6666666667	"South America"	"Yanomam"	"Yanomam"	"True"	"True"
"82"	"spa"	"stan1288"	"Spanish"	40	-4	"Eurasia"	"Romance"	"Indo-European"	"True"	"True"
"83"	"sup"	"supy1237"	"Supyire"	11.5	-5.58333333333	"Africa"	"Senufo"	"Niger-Congo"	"True"	"True"
"84"	"swa"	"swah1253"	"Swahili"	-6.5	39	"Africa"	"Bantoid"	"Niger-Congo"	"True"	"True"
"85"	"tag"	"taga1270"	"Tagalog"	15	121	"Papunesia"	"Greater Central Philippine"	"Austronesian"	"True"	"True"
"86"	"tha"	"thai1261"	"Thai"	16	101	"Eurasia"	"Kam-Tai"	"Tai-Kadai"	"True"	"True"
"87"	"tiw"	"tiwi1244"	"Tiwi"	-11.5	131	"Australia"	"Tiwian"	"Tiwian"	"True"	"True"
"88"	"tuk"	"tuka1247"	"Tukang Besi"	-5.5	123.5	"Papunesia"	"Celebic"	"Austronesian"	"True"	"True"
"89"	"tur"	"nucl1301"	"Turkish"	39	35	"Eurasia"	"Turkic"	"Altaic"	"True"	"True"
"90"	"vie"	"viet1252"	"Vietnamese"	10.5	106.5	"Eurasia"	"Viet-Muong"	"Austro-Asiatic"	"True"	"True"
"91"	"war"	"wari1268"	"Wari'"	-11.3333333333	-65	"South America"	"Chapacura-Wanham"	"Chapacura-Wanham"	"True"	"True"
"92"	"wch"	"wich1264"	"Wichí"	-22.5	-62.5833333333	"South America"	"Matacoan"	"Matacoan"	"True"	"True"
"93"	"wic"	"wich1260"	"Wichita"	33.3333333333	-97.3333333333	"North America"	"Caddoan"	"Caddoan"	"True"	"True"
"94"	"wra"	"wara1303"	"Warao"	9.33333333333	-61.6666666667	"South America"	"Warao"	"Warao"	"True"	"True"
"95"	"yag"	"yagu1244"	"Yagua"	-3.5	-72	"South America"	"Peba-Yaguan"	"Peba-Yaguan"	"True"	"True"
"96"	"yaq"	"yaqu1251"	"Yaqui"	27.5	-110.25	"North America"	"Cahita"	"Uto-Aztecan"	"True"	"True"
"97"	"yor"	"yoru1245"	"Yoruba"	8	4.33333333333	"Africa"	"Defoid"	"Niger-Congo"	"True"	"True"
"98"	"zqc"	"copa1236"	"Zoque (Copainalá)"	17	-93.25	"North America"	"Mixe-Zoque"	"Mixe-Zoque"	"True"	"True"
"99"	"zul"	"None"	"Zulu"	-30	30	"Africa"	"Bantoid"	"Niger-Congo"	"True"	"True"
